gender,race/ethnicity,parental level of education,lunch,age,country_region,years_in_us,family_income_usd,financial_support,work_hours_per_week,scholarship_status,housing_type,study_hours_per_week,attendance_percentage,sleep_hours_per_day,screen_time_hours,campus_activity_participation,library_usage_hours,stress_level,homesickness_level,academic_pressure,social_support_score,visa_type,work_restriction_impact,prev_sem_gpa,english_proficiency_score,semester_gpa
female,group B,bachelor's degree,standard,24.0,Other,4.0,131193.0,Scholarship,16.0,Yes,Off-campus,27.0,72.0,7.4,2.5,1.0,9.7,8.0,9.0,7.0,9.0,F1,10.0,3.6,81.8,2.49
female,group C,some college,standard,21.0,Nigeria,4.0,23471.0,Loan,2.0,Yes,Off-campus,33.0,90.0,8.4,9.4,1.0,5.3,10.0,7.0,10.0,3.0,F1,2.0,3.57,103.6,2.36
female,group B,master's degree,standard,28.0,Germany,3.0,127332.0,Loan,25.0,No,On-campus,25.0,95.0,5.5,9.0,3.0,13.8,2.0,10.0,6.0,1.0,J1,5.0,2.73,108.9,2.26
male,group A,associate's degree,free/reduced,25.0,South Korea,1.0,140312.0,Self-funded,14.0,No,Off-campus,31.0,60.0,4.4,6.6,1.0,2.0,9.0,8.0,10.0,1.0,F1,1.0,3.98,110.9,1.98
male,group C,some college,standard,22.0,Germany,4.0,143379.0,Loan,3.0,No,With relatives,17.0,78.0,5.5,2.1,1.0,10.1,3.0,6.0,4.0,7.0,F1,9.0,3.19,86.0,2.57
female,group B,associate's degree,standard,24.0,Germany,2.0,115804.0,Family,3.0,No,On-campus,27.0,83.0,7.4,4.1,4.0,0.1,6.0,9.0,3.0,5.0,Other,10.0,2.8,97.8,2.47
female,group B,some college,standard,27.0,Germany,0.0,28329.0,Scholarship,17.0,No,On-campus,20.0,95.0,5.6,5.3,0.0,13.9,6.0,6.0,9.0,1.0,J1,10.0,3.67,87.1,2.25
male,group B,some college,free/reduced,20.0,UK,0.0,54865.0,Loan,16.0,Yes,Off-campus,34.0,60.0,5.4,5.7,2.0,1.7,2.0,7.0,10.0,6.0,F1,9.0,3.46,106.5,2.48
male,group D,high school,free/reduced,24.0,Other,0.0,66850.0,Scholarship,18.0,No,Off-campus,8.0,64.0,4.9,4.4,0.0,1.4,7.0,7.0,4.0,6.0,F1,6.0,3.5,86.3,2.14
female,group B,high school,free/reduced,28.0,UK,1.0,74220.0,Family,10.0,No,On-campus,20.0,60.0,6.5,2.3,3.0,5.0,9.0,9.0,8.0,4.0,F1,9.0,2.39,116.2,1.75
